address,agency,allowable_building_to_floor_area,assess_land,bin,bldg_depth,bldg_front,block,boro,bsmt_code,census_block,census_tract,commercial_floor_area,community_district,condominium_number,contact,coordinates,council_district,current_uses,date_created,e_designation_number,edc___occupied,exempt_land,exempt_tot,factory_floor_area,fire_comp,garage_floor_area,govt_clean_up_program,health_area,health_ctr,his_dist,industrial_business_zone,irr_lot_code,land_use_category,landmark,latitude,longitude,lot,lot_depth,lot_front,lot_type_code,major_use,map_atlas,nta,num_floors,number_of_easements,number_structures,office_floor_area,open_petroleum_spill,other_floor_area,overlay_1,overlay_2,parcel_name,pluto_version,police_prct,potential_urban_ag,proximity_code,ratio_building_to_floor_area,residential_and_non_residential_units,residential_floor_area,residential_units,retail_floor_area,school_dist,sp_dist_1,sp_dist_2,storage_floor_area,structure_completed,total_area,total_gross_area_structures,year_alter_1,year_alter_2,zip_code,zone_dist_1,zone_dist_2
326 DELANCEY STREET,PARKS,0,262350,,79.08,81.25,323,1,5,2004,10.02,19000,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,2,PARK,2013-12-11T00:00:00.000,,0,262350,449550,0,L018,0,,,,,,N,9,,40.715428,-73.978244,2,79.08,81.25,6,Q0,4,Lower East Side                                                            ,3,0,1,0,,19000,,,PUBLIC BATH HOUSE,13v1,7,,0,2.68,1,0,0,0,1,,,0,1910,7077,19000,0,0,10002,PARK,
525 EAST HOUSTON STREET,EDUC,3.44,617400,1004062,10,0,325,1,5,3005,10.02,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0990894/0201129,2,PLAYGRND/SPORTS AREA,2013-12-11T00:00:00.000,,0,617400,653400,0,L018,0,,,,,,Y,9,,40.719029,-73.975891,11,125.08,201.92,3,Q2,4,Lower East Side                                                            ,1,0,1,0,,0,,,PS 97 PLAYGROUND,13v1,7,Not Suitable 1 - Site is not suitable for any one or more of these reasons: land-based reasons; reserved for agency purposes; no safe access to the site; site is part of a built street/highway.,0,0,0,0,0,0,1,,,0,1959,20171,0,0,0,10002,R7-2,
EAST 5 STREET,PARKS,4,186597,,0,0,374,1,5,1001,26.01,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0989994/0202486,2,PARK,2013-12-11T00:00:00.000,,0,0,0,0,E028,0,,,,,,N,11,,,,13,96.17,25,5,V1,4,,0,0,0,0,,0,,,EL JARDIN DEL PARAISO PARK,13v1,9,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,2404,0,0,0,10009,R8B,
123 MANGIN STREET,EDUC,3.44,773100,1004062,100,205.67,325,1,5,3004,10.02,93570,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0990877/0200964,2,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,773100,3394350,0,L018,0,,,,,,Y,8,,40.718024,-73.97596,25,100,205.67,5,W1,4,Lower East Side                                                            ,5,0,1,0,,93570,,,PS 97,13v1,7,,0,4.55,0,0,0,0,1,,,0,1915,20565,93570,1952,0,10002,R7-2,
303 DELANCEY STREET,DOT,3.44,718650,1000000,0,0,327,1,2,1007,10.01,20260,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0990178/0200017,1,ROAD/HIGHWAY,2013-12-11T00:00:00.000,,0,718650,718650,0,L018,20260,,,,,,N,7,,40.715568,-73.978757,44,105,200,1,T9,4,Lower East Side                                                            ,0,0,0,0,,0,,,,13v1,7,,1,0.96,1,0,0,0,1,,,0,0,21025,20260,0,0,10002,R7-2,
EAST 8 STREET,PARKS,4,388067,,0,0,377,1,5,1001,26.02,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0990347/0203150,2,COMMUNITY GARDEN,2013-12-11T00:00:00.000,,0,0,0,0,L011,0,,,,,,N,11,,,,11,97.5,51.25,5,V9,4,,0,0,0,0,,0,,,FIREMEN'S MEMORIAL GARDEN,13v1,9,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,4997,0,0,0,10009,R8B,
21 COLUMBIA STREET,PARKS,0,2044350,1000000,80,0,331,1,5,2003,12,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0989279/0200092,1,PLAYGROUND,2013-12-11T00:00:00.000,,0,2044350,2056050,0,L018,0,,,,,,Y,9,,40.715465,-73.981137,95,145.42,435.25,3,Q2,4,Lower East Side                                                            ,2,0,1,0,,0,,,BERNARD DOWNING PLGD/LUTHER GU,13v1,7,,0,0,0,0,0,0,1,,,0,1950,63325,0,0,0,10002,PARK,
285 DELANCEY STREET,EDUC,3.44,598500,1004066,145,62,331,1,2,3002,12,62725,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0989808/0199882,1,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,598500,3123900,0,L018,0,,,,,,Y,8,,40.715915,-73.979893,140,144.75,100,5,W1,4,Lower East Side                                                            ,5,0,1,0,,62725,,,PS 110,13v1,7,,2,3.84,1,0,0,0,1,,,0,1910,16354,62725,0,0,10002,R7-2,
DELANCEY STREET,"EDUC, PARKS",3.44,369450,,0,0,331,1,5,3002,12,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0989900/0199855,1,"PLAYGRND/SPORTS AREA, PLAYGROUND",2013-12-11T00:00:00.000,,0,369450,369450,0,L018,0,,,,,,N,9,,,,145,144.42,70,3,Q2,4,,0,0,0,0,,0,,,PLAYGROUND,13v1,7,,0,0,0,0,0,0,1,,,0,0,10109,0,0,0,10002,R7-2,
251 DELANCEY STREET,DOT,3.44,752850,1000000,0,0,332,1,5,2004,12,18816,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0989481/0200294,1,ROAD/HIGHWAY,2013-12-11T00:00:00.000,,0,752850,752850,0,L018,18816,,,,,,Y,7,,40.71639,-73.981462,12,200,105.25,3,T9,4,Lower East Side                                                            ,0,0,0,0,,0,C2-5,,,13v1,7,,0,0.89,0,0,0,0,1,,,0,0,21050,18816,0,0,10002,R7-2,
293 DELANCEY STREET,DOT,3.44,2549250,,0,0,332,1,5,3002,12,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,ROAD/HIGHWAY,2013-12-11T00:00:00.000,,0,2549250,2549250,0,L018,0,,,,,,N,7,,40.715802,-73.979532,52,419.83,105.25,1,T9,4,Lower East Side                                                            ,0,0,0,0,,0,,,WILLIAMSBURG BRIDGE,13v1,7,,0,0,0,0,0,0,1,,,0,0,44197,0,0,0,10002,R7-2,
116 COLUMBIA STREET,EDUC,3.44,3514500,1078041,199,364,335,1,2,4000,22.01,217300,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0989909/0201379,2,"INTERMEDIATE SCHOOL, BRANCH LIBRARY",2013-12-11T00:00:00.000,,0,3514500,13801950,0,L018,0,,,,,,N,8,,40.718195,-73.979643,1,200,400,3,W1,4,Lower East Side                                                            ,3,0,1,0,,217300,,,JHS 22/HAM. FISH PARK LIBRARY,13v1,7,,0,2.71,0,0,0,0,1,,,0,1958,80040,217300,0,0,10002,R7-2,
10 PITT STREET,DOT,3.44,1103400,1084618,16,0,336,1,5,1007,12,144,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,ROAD/HIGHWAY,2013-12-11T00:00:00.000,,0,1103400,1109250,0,L018,144,,,,,,N,7,,40.715624,-73.983955,13,200,150,3,Y8,4,Lower East Side                                                            ,1,0,1,0,,0,C2-5,,WILLIAMSBURG/BRIDGE,13v1,7,,0,0,1,0,0,0,1,,,0,1900,30000,144,0,0,10002,R7-2,
WILLETT STREET,DOT,3.44,830250,,0,0,337,1,5,1008,12,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0989249/0200387,1,ROAD/HIGHWAY,2013-12-11T00:00:00.000,,0,830250,830250,0,L018,0,,,,,,N,7,,,,44,200,105.25,1,T9,4,,0,0,1,0,,0,C2-5,,WILLIAMSBURG BRIDGE APPROACH,13v1,7,,0,0,0,0,0,0,1,,,0,0,21055,0,0,0,10002,R7-2,
EAST HOUSTON STREET,PARKS,0,6882750,,32,154,340,1,5,3000,22.01,12900,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0989563/0201492,2,PARK,2013-12-11T00:00:00.000,,0,6882750,7647750,0,L018,0,,,,,,Y,9,HAMILTON FISH PARK PLAY CENTER,,,1,400,450,3,Q1,4,,1,0,6,0,,12900,,,HAMILTON FISH PARK,13v1,7,,0,0.06,0,0,0,0,1,,,0,1935,206647,12900,0,0,10002,PARK,
426 GRAND STREET,HPD,6.02,210375,1000000,0,0,341,1,5,2007,14.02,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988245/0200091,1,"NO USE-VACANT LAND, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,210375,210375,0,L018,0,,,,,,N,10,,40.715663,-73.985733,50,90,40,5,G7,4,Lower East Side                                                            ,0,0,0,0,,0,,,,13v1,7,,0,0,0,0,0,0,1,,,0,0,3600,0,0,0,10002,R8,
DELANCEY STREET,DOT,3.44,1354950,,0,0,342,1,5,1005,12,14520,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988764/0200513,1,ROAD/HIGHWAY,2013-12-11T00:00:00.000,,0,1354950,1354950,0,L018,0,,,,,,N,7,,,,44,199.67,150,3,T9,4,,0,0,1,0,,14520,C2-5,,PARKING LOT,13v1,7,,0,0.48,1,0,0,0,1,,,0,0,29975,14520,0,0,10002,R7-2,
132 BROOME STREET,"HPD, NYPD, FIRE",6.02,968400,1004078,108,162.83,342,1,2,1005,12,55000,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988708/0200317,1,"POLICE STATION, FIREHOUSE, NO USE-RES STRUCTURE, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,968400,5283900,0,L018,0,,,,,,Y,8,,40.716165,-73.983753,60,140.75,121.33,3,Y1,4,Lower East Side                                                            ,4,0,1,0,Yes,55000,,,"LAD 18, ENG15, BAT 4",13v1,7,,0,3.15,0,0,0,0,1,,,0,1972,17486,55000,0,0,10002,C6-2,
80 ATTORNEY STREET,EDUC,4,3123000,1004080,38,50,343,1,5,2000,14.02,123410,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988653/0200908,1,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,3123000,12917700,0,L018,0,,,,,,Y,8,,40.717845,-73.984737,1,402,200.83,5,W1,4,Lower East Side                                                            ,3,0,1,0,,123410,,,PS 142 & PLAYGROUND,13v1,7,,0,1.53,0,0,0,0,1,,,0,1975,80750,123410,0,0,10002,R7A,R8A
178 RIVINGTON STREET,"EDUC, PARKS",4,3514500,1004091,270,159,344,1,2,2001,22.01,73956,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988748/0201282,1,"ELEMENTARY SCHOOL, RECREATIONL FACILITY",2013-12-11T00:00:00.000,,0,3514500,10216350,0,L018,0,,,,,,Y,8,,40.718874,-73.984354,1,300,275.08,3,W1,4,Lower East Side                                                            ,3,0,1,0,,73956,,,PS 140 & PLAYGROUND (JOP),13v1,7,,1,0.79,1,0,0,0,1,,,0,1957,94040,73956,0,0,10002,R7A,
,PARKS,0,0,,0,0,7140,3,,,,0,313,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,0,PLAYGRND/SPORTS AREA,2013-12-11T00:00:00.000,,0,0,0,0,,0,,,,,,,,,,,100,0,0,,,3,,0,0,0,0,,0,,,MARLBORO HOUSES PLAYGROUND,13v1,0,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,PARK,
STANTON STREET,HPD,4,93053,,0,0,344,1,5,2001,22.01,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0988680/0201567,1,"NO USE, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,0,0,0,L018,0,,,,,,Y,11,,,,153,63.33,18.92,5,V1,4,,0,0,0,0,,0,,,,13v1,7,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,1197,0,0,0,10002,R7A,
ATTORNEY STREET,HPD,4,108902,,0,0,344,1,5,2001,22.01,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0988683/0201499,1,"NO USE, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,0,0,0,L018,0,,,,,,N,11,,,,158,74.92,18.75,5,V1,4,,0,0,0,0,,0,,,,13v1,7,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,1405,0,0,0,10002,R7A,
135 DELANCEY STREET,HPD,6.02,429300,1000000,80,25,346,1,5,1004,14.02,10000,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0987879/0200482,1,"IN USE-RES STRUCTURE, SHORT-TERM AGREEMENT, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,0,0,0,L018,0,,,,,,Y,4,,40.718221,-73.987197,40,252.08,553.75,5,C7,4,Lower East Side                                                            ,5,0,6,0,,5000,C2-5,,,13v1,7,,0,0.18,20,21200,18,5000,2,,,0,1920,173624,31200,0,0,10002,R8,
178 BROOME STREET,HPD,6.02,1346400,1000000,0,0,347,1,5,2005,14.02,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988199/0200519,1,"IN USE-RES STRUCTURE, SHORT-TERM AGREEMENT, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,1346400,1346400,0,L018,0,,,,,,Y,10,,40.716846,-73.985989,71,146,145.83,3,G6,4,Lower East Side                                                            ,0,0,0,0,,0,C2-5,,SEWARD PARK HOUSES,13v1,7,,0,0,0,0,0,0,1,,,0,0,21132,0,0,0,10002,R8,
180 SUFFOLK STREET,ACS,4,508500,1004240,126,88,350,1,0,3000,30.01,56500,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988540/0202004,1,DAY CARE CENTER,2013-12-11T00:00:00.000,,0,0,0,0,L018,0,,,,,,N,8,,40.721067,-73.98501,8,200.08,89.33,5,I5,4,Chinatown                                                                  ,4,0,1,56500,,0,C1-5,,PUERTO RICO COUNCIL DCC,13v1,7,,3,4.99,1,0,0,0,1,,,0,1926,11313,56500,1973,0,10002,R7A,R8A
80 ESSEX STREET,DSBS,3.44,711000,1000000,71,252.5,352,1,5,2000,18,15265,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0987516/0200872,1,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,711000,1657800,0,L018,0,,,,,,Y,5,,40.717895,-73.988532,1,71,252.5,3,K1,4,Chinatown                                                                  ,1,1,1,0,,0,,,ESSEX STREET MARKET,13v1,7,,0,1,1,0,0,15265,2,,,0,1939,15265,15265,0,0,10002,C6-1,
85 NORFOLK STREET,HPD,3.44,1780200,1000000,0,0,352,1,5,2000,18,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0987580/0200799,1,"NO USE, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,1780200,1780200,0,L018,0,,,,,,Y,10,,40.717848,-73.987648,28,135,253,3,G6,4,Chinatown                                                                  ,0,0,0,0,,0,,,,13v1,7,,0,0,0,0,0,0,2,,,0,0,27941,0,0,0,10002,C6-1,
116 DELANCEY STREET,DSBS,4,2281500,1004297,402,45.08,353,1,5,3000,18,20616,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0987670/0201267,1,"FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT, SHORT-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,2281500,3292650,0,L018,0,,,,,,Y,5,,40.718526,-73.988074,44,402,45.08,3,K1,4,Chinatown                                                                  ,1,1,1,0,,0,,,ESSEX STREET MARKET,13v1,7,,0,1.01,1,0,0,20616,1,,,0,1939,20365,20616,0,0,10002,C4-4A,C6-2A
114 NORFOLK STREET,CULT,4,1516500,1004301,98,197,353,1,2,1001,14.02,90300,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0987996/0201228,1,CULTURAL FACILITY,2013-12-11T00:00:00.000,,0,1516500,5645700,0,L018,0,,,,,,Y,5,,40.719088,-73.986988,54,200.33,75.25,3,J9,4,Lower East Side                                                            ,5,0,1,90300,,0,,,CLEMENTE SOTO VELEZ CULT & ED,13v1,7,,2,3.27,2,0,0,0,1,,,0,1900,27617,90300,1986,0,10002,R7A,
140 ESSEX STREET,DSBS,4,697500,1004309,70,223,354,1,0,4002,30.01,11156,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0987821/0201659,1,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,E-216,0,697500,1312200,0,L018,0,,,,,,N,5,,40.720291,-73.987298,1,69.92,225.33,3,K1,4,Chinatown                                                                  ,1,1,1,0,,0,,,ESSEX STREET MARKET,13v1,7,,2,1,1,0,0,11156,1,,,0,1939,11163,11156,0,0,10002,C4-4A,
121 STANTON STREET,DSBS,4,513000,,148,21,354,1,0,4002,30.01,6675,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0987886/0201794,1,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,513000,865350,0,L018,0,,,,,,Y,8,,40.720919,-73.986767,12,150.08,20.83,3,I9,4,Chinatown                                                                  ,1,0,1,0,,0,,,ESSEX STREET MARKET,13v1,7,,2,0.98,1,0,0,6675,1,,,0,1939,6812,6675,0,0,10002,C4-4A,
STANTON STREET,PARKS,4,142382,,0,0,354,1,5,4002,30.01,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0987975/0201862,1,COMMUNITY GARDEN,2013-12-11T00:00:00.000,,0,0,0,0,L018,0,,,,,,Y,11,,,,16,0,0,5,V1,4,,0,0,0,0,,0,,,CHILDREN'S MIRACLE GARDEN,13v1,7,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,1834,0,0,0,10002,R7A,C4-4A
121 SUFFOLK STREET,EDUC,4,3262500,1004323,180,283,354,1,0,4001,30.01,182081,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988119/0201607,1,INTERMEDIATE SCHOOL,2013-12-11T00:00:00.000,,0,3262500,18418950,0,L018,0,,,,,,N,8,,40.719615,-73.985783,80,400.5,200.25,1,W1,4,Chinatown                                                                  ,5,0,1,0,,182081,,,IS 25,13v1,7,,1,2.27,1,0,0,0,1,,,0,1975,80220,182081,0,0,10002,R7A,
126 STANTON STREET,EDUC,4,2171250,1004325,231,153,355,1,0,3002,30.01,107380,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988043/0202068,1,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,2171250,8307450,0,L018,0,,,,,,Y,8,,40.720927,-73.986735,1,170,298.33,3,W1,4,Chinatown                                                                  ,3,0,1,0,Yes,107380,,,PS 20,13v1,7,,1,2.23,1,0,0,0,1,,,0,1961,48223,107380,0,0,10002,C4-4A,R7A
164 ESSEX STREET,PARKS,0,947250,1004325,19,0,355,1,5,3002,30.01,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988121/0202241,1,PLAYGROUND,2013-12-11T00:00:00.000,,0,947250,1010250,0,L018,0,,,,,,Y,9,,40.721498,-73.986666,10,170,100,3,Q2,4,Chinatown                                                                  ,1,0,1,0,,0,,,ESSEX PLAYGROUND,13v1,7,,0,0,0,0,0,0,1,,,0,1920,19512,0,0,0,10002,PARK,
3 AVENUE,DCAS,3.44,3240,,0,0,1788,1,5,4000,194,0,111,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,1001949/0231653,8,NO USE-VACANT LAND,2013-12-11T00:00:00.000,,0,0,0,0,E035,0,,,,,,Y,11,,,,104,5,12.58,6,V1,4,,0,0,0,0,,0,,,,13v1,25,,0,0,0,0,0,0,5,,,0,0,2184,0,0,0,10035,R7-2,
AVENUE D,PARKS,0,0,,0,0,356,1,5,3003,20,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0990651/0201491,2,PLAYGROUND,2013-12-11T00:00:00.000,,0,0,0,0,E028,0,,,,,,N,9,,,,90,213.75,117,5,Q2,4,,0,0,0,0,,0,,,LILLIAN WALD HOUSES PLAYGROUND,13v1,9,,0,0,0,0,0,0,1,,,0,0,25009,0,0,0,10002,PARK,
446 AVENUE D,EDUC,3.44,2403000,,206,193,356,1,0,3003,20,139000,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0990520/0201551,2,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,2403000,7122150,0,E028,0,,,,,,Y,8,,,,100,214,194,5,W1,4,,5,0,1,0,,139000,,,PS 188,13v1,9,,1,3.63,1,0,0,0,1,,,0,1904,38333,139000,1986,0,10002,R7-2,
184 AVENUE D,DEP,3.44,0,1004350,0,0,367,1,5,2000,24,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0991584/0203897,2,WASTEWATER PUMPING,2013-12-11T00:00:00.000,,0,0,0,0,L011,0,,,,,,N,7,,40.726203,-73.974189,25,200,100,5,U9,4,Lower East Side                                                            ,0,0,1,0,Yes,0,,,MANHATTAN SEWAGE PUMP STATION,13v1,9,,0,0,0,0,0,0,1,,,0,0,20000,0,0,0,10009,R7-2,
10 AVENUE C,PARKS,0,643559,1000000,0,0,371,1,5,1003,22.02,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0989604/0201856,2,PARK,2013-12-11T00:00:00.000,,0,643559,643559,0,E028,0,,,,,,Y,9,,40.720984,-73.981103,3,254.5,32.58,1,Q0,4,Lower East Side                                                            ,0,0,0,0,,0,,,GUSTAVE HARTMAN SQUARE,13v1,9,,0,0,0,0,0,0,1,,,0,0,8292,0,0,0,10009,PARK,
276 EAST 3 STREET,HPD,4,156821,1000000,0,0,372,1,5,1000,22.02,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0989687/0202086,2,"NO USE-VACANT LAND, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,0,0,0,E028,0,,,,,,N,11,,40.721467,-73.980129,11,86.92,23.25,5,V1,4,Lower East Side                                                            ,0,0,0,0,,0,C2-5,,,13v1,9,,0,0,0,0,0,0,1,,,0,0,2021,0,0,0,10009,R7A,
282 EAST 3 STREET,DHS,4,298800,1004357,105,40,372,1,2,1000,22.02,23530,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0989752/0202038,2,TRANSL HSG - WOMEN,2013-12-11T00:00:00.000,,0,298800,955350,0,E028,0,,,,,,N,8,,40.721434,-73.980054,14,105.92,41.75,5,N2,4,Lower East Side                                                            ,6,0,1,0,,23530,,,HENRY STREET SETTLEMENT,13v1,9,,2,5.32,1,0,0,0,1,,,0,1975,4424,23530,1989,0,10009,R8B,
302 EAST 2 STREET,HPD,6,411341,1000000,0,0,372,1,5,1000,22.02,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0990033/0201758,2,"NO USE, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,E-216,0,0,0,0,E028,0,,,,,,N,11,,40.72013,-73.979361,49,105.92,50,5,V1,4,Lower East Side                                                            ,0,0,0,0,,0,,,,13v1,9,Pending,0,0,0,0,0,0,1,,,0,0,5298,0,0,0,10009,R8A,
346 EAST 4 STREET,PARKS,4,209845,1000000,0,0,373,1,5,1002,26.01,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0990189/0202090,2,COMMUNITY GARDEN,2013-12-11T00:00:00.000,,0,0,0,0,E028,0,,,,,,N,11,,40.72153,-73.978408,26,96.17,28.08,5,V9,4,Lower East Side                                                            ,0,0,0,0,,0,,,ORCHARD ALLEY GARDEN,13v1,9,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,2701,0,0,0,10009,R8B,
EAST 4 STREET,PARKS,4,449515,,0,0,373,1,5,1002,26.01,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0990226/0202070,2,COMMUNITY GARDEN,2013-12-11T00:00:00.000,,0,0,0,0,E028,0,,,,,,N,11,,,,27,96.17,56.25,5,V9,4,,0,0,0,0,,0,,,ORCHARD ALLEY GARDEN,13v1,9,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,5792,0,0,0,10009,R8B,
EAST 4 STREET,PARKS,6,129837,,0,0,373,1,5,1002,26.01,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0990261/0202055,2,COMMUNITY GARDEN,2013-12-11T00:00:00.000,,0,0,0,0,E028,0,,,,,,N,11,,,,30,88.08,19,5,V1,4,,0,0,0,0,,0,C1-5,,ORCHARD ALLEY GARDEN,13v1,9,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,1674,0,0,0,10009,R8A,
EAST 5 STREET,PARKS,4,205219,,0,0,374,1,5,1001,26.01,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0989950/0202510,2,PARK,2013-12-11T00:00:00.000,,0,205219,205219,0,E028,0,,,,,,N,11,,,,10,96.17,27.5,5,V1,4,,0,0,0,0,,0,C2-5,,EL JARDIN DEL PARAISO PARK,13v1,9,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,2645,0,0,0,10009,R8B,R7A
706 EAST 5 STREET,PARKS,4,186597,1000000,0,0,374,1,5,1001,26.01,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0989972/0202498,2,PARK,2013-12-11T00:00:00.000,,0,0,0,0,E028,0,,,,,,N,11,,40.72265,-73.97918,12,96.17,25,5,V9,4,Lower East Side                                                            ,0,0,0,0,,0,,,EL JARDIN DE PARAISO PARK,13v1,9,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,2404,0,0,0,10009,R8B,
EAST 5 STREET,PARKS,4,186597,,0,0,374,1,5,1001,26.01,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0990016/0202473,2,PARK,2013-12-11T00:00:00.000,,0,0,0,0,E028,0,,,,,,N,11,,,,14,96.17,25,5,V9,4,,0,0,0,0,,0,,,EL JARDIN DEL PARAISO PARK,13v1,9,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,2404,0,0,0,10009,R8B,
EAST 5 STREET,PARKS,4,186597,,0,0,374,1,5,1001,26.01,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0990038/0202461,2,NEIGHBORHOOD PARK,2013-12-11T00:00:00.000,,0,186597,186597,0,E028,0,,,,,,N,11,,,,15,96.17,25,5,V1,4,,0,0,0,0,,0,,,EL JARDIN DEL PARAISO PARK,13v1,9,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,2404,0,0,0,10009,R8B,
EAST 5 STREET,PARKS,4,186597,,0,0,374,1,5,1001,26.01,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0990060/0202449,2,PARK,2013-12-11T00:00:00.000,,0,0,0,0,E028,0,,,,,,N,11,,,,16,96.17,25,5,V9,4,,0,0,0,0,,0,,,EL JARDIN DEL PARAISO PARK,13v1,9,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,2404,0,0,0,10009,R8B,
