action,boro,building,camis,critical_flag,cuisine_description,dba,grade,grade_date,inspection_date,inspection_type,phone,record_date,score,street,violation_code,violation_description,zipcode
Violations were cited in the following area(s).,MANHATTAN,15,41238508,Critical,Italian,MORANDI,A,2014-10-03T00:00:00.000,2014-10-03T00:00:00.000,Cycle Inspection / Initial Inspection,2126277575,2018-03-26T06:00:56.000,12,CHARLES STREET,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10014
Violations were cited in the following area(s).,MANHATTAN,787,41682041,Critical,Pizza,NY FRESH PIZZA,,,2017-07-28T00:00:00.000,Cycle Inspection / Initial Inspection,2125862600,2018-03-26T06:00:56.000,26,9 AVENUE,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10019
Violations were cited in the following area(s).,BROOKLYN,1869,50003712,Critical,Mexican,EL POLLO ENCHILADO,,,2017-07-24T00:00:00.000,Cycle Inspection / Initial Inspection,7186451480,2018-03-26T06:00:56.000,29,E 3RD ST,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,11223
Violations were cited in the following area(s).,MANHATTAN,116,41475994,Critical,American,HAMPTON INN-HERALD SQUARE,,,2015-10-19T00:00:00.000,Cycle Inspection / Initial Inspection,2129479700,2018-03-26T06:00:56.000,19,WEST   31 STREET,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10001
Violations were cited in the following area(s).,MANHATTAN,24,40681411,Not Critical,Chinese,JOE'S SHANGHAI RESTAURANT,,,2015-01-08T00:00:00.000,Cycle Inspection / Compliance Inspection,2123333868,2018-03-26T06:00:56.000,27,WEST   56 STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10019
Violations were cited in the following area(s).,QUEENS,NKA,50008956,Critical,Mexican,QDOBA MEXICAN GRILL,A,2017-05-25T00:00:00.000,2017-05-25T00:00:00.000,Cycle Inspection / Initial Inspection,7189950838,2018-03-26T06:00:56.000,9,JFK INTERNATIONAL AIRPORT,06F,Wiping cloths soiled or not stored in sanitizing solution.,11430
Violations were cited in the following area(s).,QUEENS,25305,41693861,Critical,Bagels/Pretzels,ACE HOT BAGEL & DELI,,,2015-02-04T00:00:00.000,Cycle Inspection / Initial Inspection,7182240014,2018-03-26T06:00:56.000,22,NORTHERN BOULEVARD,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,11362
Violations were cited in the following area(s).,BROOKLYN,384,50061246,Critical,American,EAST ONE COFFEE ROASTERS,,,2017-12-20T00:00:00.000,Cycle Inspection / Initial Inspection,3479874919,2018-03-26T06:00:56.000,36,COURT ST,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11231
Violations were cited in the following area(s).,MANHATTAN,34,41454384,Not Critical,Korean,K TOWN,,,2017-12-20T00:00:00.000,Cycle Inspection / Initial Inspection,2126432603,2018-03-26T06:00:56.000,34,WEST   32 STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10001
Violations were cited in the following area(s).,QUEENS,16053,41257259,Critical,Pizza,L'AMICI,A,2015-05-28T00:00:00.000,2015-05-28T00:00:00.000,Cycle Inspection / Re-inspection,7189786300,2018-03-26T06:00:56.000,10,ROCKAWAY BOULEVARD,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11434
Violations were cited in the following area(s).,MANHATTAN,19,50034379,Critical,American,BLACK BARN,,,2017-07-24T00:00:00.000,Cycle Inspection / Initial Inspection,2122655959,2018-03-26T06:00:56.000,37,E 26TH ST,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10010
Violations were cited in the following area(s).,MANHATTAN,132,40385852,Not Critical,Italian,SAM'S PLACE,,,2016-05-06T00:00:00.000,Smoke-Free Air Act / Initial Inspection,2125996360,2018-03-26T06:00:56.000,,EAST   39 STREET,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",10016
Violations were cited in the following area(s).,MANHATTAN,200,50011679,Critical,American,ROOT & BONE,A,2016-06-14T00:00:00.000,2016-06-14T00:00:00.000,Cycle Inspection / Re-inspection,9179817189,2018-03-26T06:00:56.000,11,E 3RD ST,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10009
Violations were cited in the following area(s).,QUEENS,17713,50039153,Not Critical,Japanese,UMI SUSHI,,,2016-02-09T00:00:00.000,Cycle Inspection / Initial Inspection,7189698298,2018-03-26T06:00:56.000,20,UNION TPKE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11366
Violations were cited in the following area(s).,MANHATTAN,280,50045354,Critical,Hamburgers,MCDONALD'S,A,2016-11-04T00:00:00.000,2016-11-04T00:00:00.000,Cycle Inspection / Initial Inspection,2125761539,2018-03-26T06:00:56.000,8,MADISON AVE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10016
Violations were cited in the following area(s).,MANHATTAN,413415,41373304,Critical,Chinese,MING'S RESTAURANT,,,2018-01-29T00:00:00.000,Cycle Inspection / Initial Inspection,2128681378,2018-03-26T06:00:56.000,31,9 AVENUE,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10001
Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,QUEENS,14009,41194745,Critical,Chinese,GOLDEN PALACE GOURMET,,,2016-06-23T00:00:00.000,Cycle Inspection / Re-inspection,7188864383,2018-03-26T06:00:56.000,35,CHERRRY AVENUE,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11355
Violations were cited in the following area(s).,QUEENS,6901,41165717,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",POLLOS A LA BRASA MARION,B,2015-05-26T00:00:00.000,2015-05-26T00:00:00.000,Cycle Inspection / Re-inspection,7187798100,2018-03-26T06:00:56.000,18,ROOSEVELT AVENUE,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11377
Violations were cited in the following area(s).,BROOKLYN,441,50064591,Not Critical,American,CAMPERDOWN ELM,,,2017-10-21T00:00:00.000,Cycle Inspection / Initial Inspection,3474143806,2018-03-26T06:00:56.000,18,7TH AVE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11215
Violations were cited in the following area(s).,QUEENS,420,40511312,Not Critical,Pizza/Italian,PLUM TOMATOES PIZZERIA & RESTAURANT,,,2017-12-30T00:00:00.000,Cycle Inspection / Initial Inspection,7184741775,2018-03-26T06:00:56.000,28,BEACH  129 STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11694
Violations were cited in the following area(s).,MANHATTAN,101105,41545974,Critical,Sandwiches,NEW SAU VOI,,,2015-11-24T00:00:00.000,Cycle Inspection / Initial Inspection,2122268184,2018-03-26T06:00:56.000,25,LAFAYETTE STREET,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10013
Violations were cited in the following area(s).,QUEENS,12002,41061893,Critical,Hamburgers,BURGER KING,A,2016-06-10T00:00:00.000,2016-06-10T00:00:00.000,Cycle Inspection / Re-inspection,7186411924,2018-03-26T06:00:56.000,10,LIBERTY AVENUE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11419
Violations were cited in the following area(s).,QUEENS,3718,41691085,Not Critical,CafÃ©/Coffee/Tea,COFFEED,,,2016-10-21T00:00:00.000,Administrative Miscellaneous / Initial Inspection,7186061299,2018-03-26T06:00:56.000,,NORTHERN BOULEVARD,20F,Current letter grade card not posted.,11101
Violations were cited in the following area(s).,BRONX,3218,50017049,Not Critical,Chinese,NEW PANDA RESTAURANT,B,2016-08-08T00:00:00.000,2016-08-08T00:00:00.000,Cycle Inspection / Re-inspection,7182928628,2018-03-26T06:00:56.000,23,3RD AVE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10451
Violations were cited in the following area(s).,BROOKLYN,3160,41694450,Critical,Middle Eastern,GYRO EXPRESS,,,2016-01-21T00:00:00.000,Cycle Inspection / Initial Inspection,7187699228,2018-03-26T06:00:56.000,20,CONEY ISLAND AVE,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",11235
Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,MANHATTAN,607,50013680,Critical,CafÃ©/Coffee/Tea,VIVI BUBBLE TEA,,,2016-09-07T00:00:00.000,Cycle Inspection / Initial Inspection,2129560288,2018-03-26T06:00:56.000,55,9TH AVE,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10036
Violations were cited in the following area(s).,BROOKLYN,593,41214993,Critical,American,SUNSET DINER,,,2016-07-21T00:00:00.000,Cycle Inspection / Initial Inspection,7183492777,2018-03-26T06:00:56.000,12,MEEKER AVE,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",11222
Violations were cited in the following area(s).,QUEENS,16312,41381542,Not Critical,American,MMM...THAT'S A WRAP,A,2017-01-24T00:00:00.000,2017-01-24T00:00:00.000,Cycle Inspection / Re-inspection,7183229727,2018-03-26T06:00:56.000,6,CROSSBAY BOULEVARD,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,11414
Violations were cited in the following area(s).,BROOKLYN,443,50017266,Critical,Indian,ALL ABOUT INDIAN FOOD,,,2017-02-28T00:00:00.000,Cycle Inspection / Initial Inspection,7183811333,2018-03-26T06:00:56.000,24,BUSHWICK AVE,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11206
Establishment re-opened by DOHMH,BROOKLYN,177,41462900,Not Critical,Japanese,ATLANTIC MITOUSHI SUSHI,P,2016-01-22T00:00:00.000,2016-01-22T00:00:00.000,Cycle Inspection / Reopening Inspection,7189351600,2018-03-26T06:00:56.000,7,ATLANTIC AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11201
Violations were cited in the following area(s).,QUEENS,2581,41647630,Not Applicable,CafÃ©/Coffee/Tea,KHAN LOUNGE,,,2017-11-04T00:00:00.000,Smoke-Free Air Act / Initial Inspection,6463405603,2018-03-26T06:00:56.000,,STEINWAY STREET,15E,,11103
Violations were cited in the following area(s).,MANHATTAN,111,41432865,Not Critical,Japanese,SUSHI HANA,,,2016-10-18T00:00:00.000,Cycle Inspection / Initial Inspection,2123889688,2018-03-26T06:00:56.000,24,RIVINGTON STREET,10H,Proper sanitization not provided for utensil ware washing operation.,10002
Violations were cited in the following area(s).,BRONX,347478,40390814,Critical,Seafood,LOUIS SEAFOOD,,,2017-01-05T00:00:00.000,Cycle Inspection / Initial Inspection,7188224600,2018-03-26T06:00:56.000,21,EAST TREMONT AVENUE,04A,Food Protection Certificate not held by supervisor of food operations.,10465
Violations were cited in the following area(s).,MANHATTAN,272,50000282,Critical,Pizza,UPTOWN SLICES,A,2017-01-25T00:00:00.000,2017-01-25T00:00:00.000,Cycle Inspection / Initial Inspection,2122837021,2018-03-26T06:00:56.000,12,W 135 STREET,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10030
Violations were cited in the following area(s).,MANHATTAN,12,40399834,Critical,Korean,HAN GAWI,,,2017-12-12T00:00:00.000,Cycle Inspection / Initial Inspection,2122130077,2018-03-26T06:00:56.000,26,EAST   32 STREET,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10016
Violations were cited in the following area(s).,QUEENS,4160,41178236,Not Applicable,Bakery,FAY DA BAKERY,,,2017-09-21T00:00:00.000,Cycle Inspection / Compliance Inspection,7188864568,2018-03-26T06:00:56.000,63,MAIN STREET,22F,,11355
Violations were cited in the following area(s).,BROOKLYN,1176,50033778,Critical,Indian,BOMBAY GRILL,A,2016-08-13T00:00:00.000,2016-08-13T00:00:00.000,Cycle Inspection / Initial Inspection,7184840004,2018-03-26T06:00:56.000,12,BEDFORD AVE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11216
Violations were cited in the following area(s).,MANHATTAN,51,50002626,Critical,Chinese,GOLDEN BOWL RESTAURANT,,,2018-02-21T00:00:00.000,Cycle Inspection / Initial Inspection,9178067488,2018-03-26T06:00:56.000,51,DIVISION ST,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10002
Violations were cited in the following area(s).,QUEENS,2602,41207137,Not Critical,Greek,CORNER TAVERNA,,,2016-03-05T00:00:00.000,Cycle Inspection / Initial Inspection,7187775511,2018-03-26T06:00:56.000,28,23 AVENUE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11105
Violations were cited in the following area(s).,QUEENS,13620,50072980,Not Critical,American,OK LAH!,Z,2018-03-13T00:00:00.000,2018-03-13T00:00:00.000,Pre-permit (Operational) / Re-inspection,9176280180,2018-03-26T06:00:56.000,27,38TH AVE,10I,"Single service item reused, improperly stored, dispensed; not used when required.",11354
Violations were cited in the following area(s).,QUEENS,13811,40786218,Not Critical,Hamburgers,MCDONALD'S,,,2018-02-22T00:00:00.000,Cycle Inspection / Initial Inspection,7183581177,2018-03-26T06:00:56.000,37,20 AVENUE,10J,''''Wash hands sign not posted at hand wash facility.,11356
Violations were cited in the following area(s).,BROOKLYN,8521,40731374,Critical,Pizza,PIZZA DEN,,,2018-03-14T00:00:00.000,Cycle Inspection / Initial Inspection,7188372350,2018-03-26T06:00:56.000,31,18 AVENUE,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11214
Violations were cited in the following area(s).,MANHATTAN,200,40483694,Critical,American,MINSKOFF THEATER,A,2015-12-08T00:00:00.000,2015-12-08T00:00:00.000,Cycle Inspection / Initial Inspection,2123544624,2018-03-26T06:00:56.000,10,WEST   45 STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10036
Violations were cited in the following area(s).,BROOKLYN,488,41576290,Not Critical,Caribbean,PARADISE 2 INTERNATIONAL RESTAURANT AND BAKERY,A,2015-07-01T00:00:00.000,2015-07-01T00:00:00.000,Cycle Inspection / Re-inspection,7189220330,2018-03-26T06:00:56.000,11,EAST   98 STREET,09B,Thawing procedures improper.,11212
Violations were cited in the following area(s).,QUEENS,9006,50010338,Not Critical,Mexican,OAXAQUITA BELLA RESTAURANT AND BAKERY,,,2016-03-02T00:00:00.000,Cycle Inspection / Initial Inspection,7188058000,2018-03-26T06:00:56.000,28,JAMAICA AVE,10J,''''Wash hands sign not posted at hand wash facility.,11421
Violations were cited in the following area(s).,MANHATTAN,829,41549888,Not Critical,Italian,SAGGIO RESTAURANT,,,2015-11-19T00:00:00.000,Cycle Inspection / Initial Inspection,2127953080,2018-03-26T06:00:56.000,24,WEST  181 STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10033
Violations were cited in the following area(s).,MANHATTAN,605,50047045,Critical,"Juice, Smoothies, Fruit Salads",LIFECAFE,,,2017-05-25T00:00:00.000,Cycle Inspection / Initial Inspection,2125641300,2018-03-26T06:00:56.000,26,W 42ND ST,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10036
Violations were cited in the following area(s).,MANHATTAN,21,41711975,Critical,Chinese,SZECHUAN GOURMET,,,2016-09-08T00:00:00.000,Cycle Inspection / Initial Inspection,2129210233,2018-03-26T06:00:56.000,24,WEST   39 STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10018
Violations were cited in the following area(s).,BROOKLYN,152,50066707,Not Critical,Chinese,SZECHUAN DELIGHT,B,2018-01-22T00:00:00.000,2018-01-22T00:00:00.000,Pre-permit (Operational) / Re-inspection,7187885408,2018-03-26T06:00:56.000,15,7TH AVE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11215
Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,BROOKLYN,253,50018354,Critical,Chinese,FAMOUS FRESH SUPER TACO & GRILL INC,,,2017-11-08T00:00:00.000,Cycle Inspection / Compliance Inspection,7183398899,2018-03-26T06:00:56.000,39,AVENUE X,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11223
Violations were cited in the following area(s).,BROOKLYN,379,41525768,Critical,American,THE WEST CAFE,A,2016-05-09T00:00:00.000,2016-05-09T00:00:00.000,Cycle Inspection / Re-inspection,7185991704,2018-03-26T06:00:56.000,11,UNION AVENUE,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11211
Violations were cited in the following area(s).,QUEENS,13680,50000130,Critical,Chinese,FU XIANG JU,A,2015-11-18T00:00:00.000,2015-11-18T00:00:00.000,Cycle Inspection / Initial Inspection,7189612430,2018-03-26T06:00:56.000,12,41ST AVE,02B,Hot food item not held at or above 140Âº F.,11355
Violations were cited in the following area(s).,MANHATTAN,49,41272891,Not Critical,Indian,THE KATI ROLL COMPANY,,,2017-08-09T00:00:00.000,Cycle Inspection / Initial Inspection,2127304280,2018-03-26T06:00:56.000,14,WEST   39 STREET,10I,"Single service item reused, improperly stored, dispensed; not used when required.",10018
Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,BROOKLYN,234,50061022,Not Critical,Indian,INDIAN TABLE,,,2018-03-22T00:00:00.000,Cycle Inspection / Re-inspection,3476893882,2018-03-26T06:00:56.000,53,COURT ST,09B,Thawing procedures improper.,11201
Violations were cited in the following area(s).,QUEENS,9912,40884503,Not Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",EL CUENCANITO,,,2016-02-03T00:00:00.000,Cycle Inspection / Initial Inspection,7182711721,2018-03-26T06:00:56.000,18,ALSTYNE AVE,09A,Canned food product observed dented and not segregated from other consumable food items.,11368
Violations were cited in the following area(s).,BRONX,1838,41471474,Not Critical,Chinese,NEW HONG KONG RESTAURANT I,A,2015-02-17T00:00:00.000,2015-02-17T00:00:00.000,Cycle Inspection / Initial Inspection,7182396998,2018-03-26T06:00:56.000,9,EAST TREMONT AVENUE,09C,Food contact surface not properly maintained.,10460
Violations were cited in the following area(s).,MANHATTAN,567,41313515,Not Critical,American,"DUNKIN' DONUTS, BASKIN ROBBINS",A,2017-02-07T00:00:00.000,2017-02-07T00:00:00.000,Cycle Inspection / Initial Inspection,2128679578,2018-03-26T06:00:56.000,11,3 AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10016
Violations were cited in the following area(s).,BROOKLYN,193,50005856,Not Critical,Thai,SPICE,,,2015-03-04T00:00:00.000,Cycle Inspection / Initial Inspection,7187227871,2018-03-26T06:00:56.000,18,SMITH ST,09B,Thawing procedures improper.,11201
Violations were cited in the following area(s).,BROOKLYN,305,41113515,Critical,Pizza,FORTUNATA'S II,,,2015-02-04T00:00:00.000,Cycle Inspection / Initial Inspection,7184978101,2018-03-26T06:00:56.000,20,KNICKERBOCKER AVENUE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11237
Violations were cited in the following area(s).,QUEENS,141,41169478,Critical,American,STAR MOUNTAIN COFFEE,,,2016-10-21T00:00:00.000,Cycle Inspection / Initial Inspection,7185536787,2018-03-26T06:00:56.000,15,JFK INTERNATIONAL AIRPORT,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,11430
Violations were cited in the following area(s).,MANHATTAN,1,50017850,Critical,Chinese/Japanese,CHI DUMPLINGS & NOODLES,A,2017-10-23T00:00:00.000,2017-10-23T00:00:00.000,Cycle Inspection / Re-inspection,6467553230,2018-03-26T06:00:56.000,12,W 58TH ST,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10019
Violations were cited in the following area(s).,BRONX,3657,40380253,Critical,American,RIVERDALE DINER,A,2017-12-06T00:00:00.000,2017-12-06T00:00:00.000,Cycle Inspection / Re-inspection,7188846050,2018-03-26T06:00:56.000,13,KINGSBRIDGE AVENUE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10463
Violations were cited in the following area(s).,MANHATTAN,346,50041720,Critical,Filipino,GRILL 21,,,2017-07-20T00:00:00.000,Cycle Inspection / Initial Inspection,2124735950,2018-03-26T06:00:56.000,23,E 21ST ST,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10010
Violations were cited in the following area(s).,MANHATTAN,508,41696929,Not Critical,Irish,SCALLYWAG'S IRISH PUB & REST,,,2015-11-02T00:00:00.000,Cycle Inspection / Initial Inspection,6464904803,2018-03-26T06:00:56.000,24,9 AVENUE,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,10018
Violations were cited in the following area(s).,MANHATTAN,54,41547298,Critical,American,FRAUNCES TAVERN,B,2017-08-31T00:00:00.000,2017-08-31T00:00:00.000,Cycle Inspection / Re-inspection,2129681776,2018-03-26T06:00:56.000,27,PEARL STREET,04M,Live roaches present in facility's food and/or non-food areas.,10004
Violations were cited in the following area(s).,MANHATTAN,102,41642773,Not Critical,American,UNION SQUARE EVENTS,A,2015-04-03T00:00:00.000,2015-04-03T00:00:00.000,Cycle Inspection / Initial Inspection,9175667690,2018-03-26T06:00:56.000,10,NORTH END AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10282
Violations were cited in the following area(s).,MANHATTAN,106,41116590,Critical,American,SUNITA,A,2015-10-21T00:00:00.000,2015-10-21T00:00:00.000,Cycle Inspection / Initial Inspection,2122538860,2018-03-26T06:00:56.000,12,NORFOLK STREET,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,10002
Violations were cited in the following area(s).,BROOKLYN,14,41151265,Not Critical,Caribbean,DELROY'S CAFE,A,2014-09-22T00:00:00.000,2014-09-22T00:00:00.000,Cycle Inspection / Re-inspection,5163598056,2018-03-26T06:00:56.000,12,DURYEA PLACE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11226
Violations were cited in the following area(s).,BROOKLYN,911,50071186,Critical,"Juice, Smoothies, Fruit Salads",FUEL JUICE BAR,,,2017-10-25T00:00:00.000,Pre-permit (Non-operational) / Initial Inspection,6468133835,2018-03-26T06:00:56.000,86,BROADWAY,05C,Food contact surface improperly constructed or located. Unacceptable material used.,11206
Violations were cited in the following area(s).,QUEENS,6548,50002890,Not Critical,Chinese,NEW FONG KWAN KITCHEN,A,2015-08-18T00:00:00.000,2015-08-18T00:00:00.000,Cycle Inspection / Re-inspection,7184974461,2018-03-26T06:00:56.000,12,METROPOLITAN AVE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11379
Violations were cited in the following area(s).,MANHATTAN,253,41408551,Not Critical,American,APOLLO THEATRE CONCESSIONS,A,2016-08-31T00:00:00.000,2016-08-31T00:00:00.000,Cycle Inspection / Re-inspection,2125315328,2018-03-26T06:00:56.000,13,WEST  125 STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10027
Violations were cited in the following area(s).,BROOKLYN,6914,50039979,Not Critical,Japanese,BAYRIDGE SUSHI,A,2017-06-21T00:00:00.000,2017-06-21T00:00:00.000,Cycle Inspection / Re-inspection,7184910662,2018-03-26T06:00:56.000,11,3RD AVE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11209
Violations were cited in the following area(s).,QUEENS,5430,41150646,Not Critical,Spanish,RUDY'S DELI RESTAURANT,B,2016-11-04T00:00:00.000,2016-11-04T00:00:00.000,Cycle Inspection / Re-inspection,7189377168,2018-03-26T06:00:56.000,25,48 STREET,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,11378
Violations were cited in the following area(s).,MANHATTAN,1025,50052203,Critical,"Juice, Smoothies, Fruit Salads",JUICE ISLAND,A,2017-04-10T00:00:00.000,2017-04-10T00:00:00.000,Pre-permit (Operational) / Re-inspection,2126198030,2018-03-26T06:00:56.000,12,3RD AVE,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10065
Violations were cited in the following area(s).,MANHATTAN,46,40864264,Not Critical,American,THE VILLAGE TAVERN,,,2015-06-18T00:00:00.000,Administrative Miscellaneous / Initial Inspection,2127411935,2018-03-26T06:00:56.000,,BEDFORD STREET,20F,Current letter grade card not posted.,10014
Violations were cited in the following area(s).,MANHATTAN,674,41699397,Critical,"Juice, Smoothies, Fruit Salads",JUICY CUBE,,,2018-01-17T00:00:00.000,Cycle Inspection / Initial Inspection,2128882188,2018-03-26T06:00:56.000,10,LEXINGTON AVENUE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10022
Violations were cited in the following area(s).,MANHATTAN,11,40580639,Critical,Japanese,UDON WEST,,,2018-01-16T00:00:00.000,Cycle Inspection / Initial Inspection,6466915269,2018-03-26T06:00:56.000,25,ST MARKS PLACE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10003
Establishment re-closed by DOHMH,BROOKLYN,466,50004130,Not Critical,Jewish/Kosher,AVENUE P APPETIZER,,,2018-03-07T00:00:00.000,Cycle Inspection / Reopening Inspection,7183397202,2018-03-26T06:00:56.000,7,AVENUE P,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11223
Violations were cited in the following area(s).,BRONX,34,41335337,Not Critical,Seafood,LOBSTER BOX,A,2015-03-07T00:00:00.000,2015-03-07T00:00:00.000,Cycle Inspection / Initial Inspection,7188851952,2018-03-26T06:00:56.000,12,CITY ISLAND AVE,09B,Thawing procedures improper.,10464
