agency,agency_name,brief_description,call_resolution,date,date_time,inquiry_name,time,unique_id
DEP,Department of Environmental Protection,Report no or very low water pressure in a private home or commercial building.,Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:04:34.000,Water Complaint - No Water or Low Pressure in a Private Home or Commercial Building,6:04:34 PM,90493726
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:07:14.000,Heat Complaint - Residential Building - Inadequate Heat,6:07:14 PM,90493727
HPD,Department of Housing Preservation and Development,Department of Housing Preservation and Development request status not found in Service Request Lookup.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T17:49:18.000,Service Request Status - HPD Status Not Found,5:49:18 PM,90493728
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T17:49:28.000,Heat Complaint - Residential Building - Inadequate Heat,5:49:28 PM,90493729
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T17:57:54.000,Heat Complaint - Residential Building - Inadequate Heat,5:57:54 PM,90493730
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:18:45.000,Heat Complaint - Residential Building - Inadequate Heat,6:18:45 PM,90493731
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:20:47.000,Heat Complaint - Residential Building - Inadequate Heat,6:20:47 PM,90493732
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:06:14.000,Heat Complaint - Residential Building - Inadequate Heat,6:06:14 PM,90493733
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:07:41.000,No Hot Water Complaint - Residential Building - From Tenant,6:07:41 PM,90493734
NYCHA,New York City Housing Authority,Complaint that public housing is too cold or overheated.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T18:13:32.000,Heat Complaint in NYCHA Building,6:13:32 PM,90493735
DOC,Department of Correction,"Get information on an inmate's location, ID numbers, charges, court date, bail, mailing address, and release date.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:12:16.000,Inmate Location and Information,6:12:16 PM,90493736
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:14:14.000,Heat Complaint - Residential Building - Inadequate Heat,6:14:14 PM,90493737
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:21:38.000,Heat Complaint - Residential Building - Inadequate Heat,6:21:38 PM,90493738
3-1-1,3-1-1 Call Center,Hidden service for activity coding.,Out of 3-1-1 Jurisdiction,2013-01-24T00:00:00.000,2013-01-24T18:30:28.000,Outside of 311 Jurisdiction,6:30:28 PM,90493739
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:26:48.000,Heat Complaint - Residential Building - Inadequate Heat,6:26:48 PM,90493740
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:30:33.000,Heat Complaint - Residential Building - Inadequate Heat,6:30:33 PM,90493741
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:37:37.000,Heat Complaint - Residential Building - Inadequate Heat,6:37:37 PM,90493742
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:45:12.000,No Hot Water Complaint - Residential Building - From Tenant,6:45:12 PM,90493743
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:47:14.000,Heat Complaint - Residential Building - Inadequate Heat,6:47:14 PM,90493744
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T18:22:57.000,No Hot Water Complaint - Residential Building - From Tenant,6:22:57 PM,90493745
NYPD,New York City Police Department,Report a vehicle that is blocking a driveway.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T18:25:48.000,Vehicle Blocking Driveway Complaint,6:25:48 PM,90493746
DSNY,Department of Sanitation,"An appointment is required to throw away a refrigerator, air conditioner, freezer, or any other device containing CFC gas.",Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T18:34:04.000,CFC and Freon Removal - Appointment,6:34:04 PM,90493747
CHALL,CityHall,Information about Barclays Center.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:40:24.000,Barclays Center Information,6:40:24 PM,90493748
DSNY,Department of Sanitation,Learn about throwing away a large item that does not fit in a garbage bin or bag.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:34:10.000,Bulk Item Disposal Information,6:34:10 PM,90493749
DHS,Department of Homeless Services,Apply for shelter for single homeless adults 18 and older.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:36:24.000,Homeless Shelter Intake for Single Adults,6:36:24 PM,90493750
NYPD,New York City Police Department,Report of illegal dumping  in progress. Requires immediate transfer to 911.,Hot Transfer 911,2013-01-24T00:00:00.000,2013-01-24T18:40:56.000,Illegal Dumping - In Progress,6:40:56 PM,90493751
HPD,Department of Housing Preservation and Development,Complaint about mold in a home.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T18:51:00.000,Mold Complaint - Apartment,6:51:00 PM,90493752
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Caller Hung Up,2013-01-24T00:00:00.000,2013-01-24T18:52:51.000,Heat Complaint - Residential Building - Inadequate Heat,6:52:51 PM,90493753
DSNY,Department of Sanitation,Information about recycling and trash collection days for a specific residential or non-profit address.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T20:31:15.000,Recycling and Trash Collection Schedules,8:31:15 PM,90493754
DSNY,Department of Sanitation,"Report of someone using another person's trash receptacle, placing trash in front of another location, or disposing of a mattress incorrectly.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T21:11:17.000,Improper Trash Disposal,9:11:17 PM,90493755
DOHMH,Department of Health and Mental Hygiene,"Report of bad indoor air quality from chemical odors, vapors, or soot.",CSMS SR,2013-01-24T00:00:00.000,2013-01-24T23:04:23.000,Indoor Air Quality - Chemical Odors Vapors or Soot,11:04:23 PM,90493756
3-1-1,3-1-1 Call Center,Request for the phone number or address of a specific person or business.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:41:51.000,Contact Information - Directory Assistance,6:41:51 PM,90493757
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T18:41:52.000,Heat Complaint - Residential Building - Inadequate Heat,6:41:52 PM,90493758
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T18:43:30.000,Heat Complaint - Residential Building - Inadequate Heat,6:43:30 PM,90493759
3-1-1,3-1-1 Call Center,Hidden service for activity coding.,Out of 3-1-1 Jurisdiction,2013-01-24T00:00:00.000,2013-01-24T18:45:20.000,Outside of 311 Jurisdiction,6:45:20 PM,90493760
CCRB,Civilian Complaint Review Board,"Report unnecessary use of force, abuse of authority, discourtesy, or offensive language by a police official.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:48:43.000,Police Officer Misconduct,6:48:43 PM,90493761
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:52:49.000,Heat Complaint - Residential Building - Inadequate Heat,6:52:49 PM,90493762
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:57:31.000,Heat Complaint - Residential Building - Inadequate Heat,6:57:31 PM,90493763
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:40:03.000,Heat Complaint - Residential Building - Inadequate Heat,7:40:03 PM,90493764
BAROFNYC,Association of the Bar of the City of New York,Lawyer and legal advice referrals.,Referral,2013-01-24T00:00:00.000,2013-01-24T19:49:20.000,Lawyer Referral,7:49:20 PM,90493765
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:52:19.000,Heat Complaint - Residential Building - Inadequate Heat,7:52:19 PM,90493766
DCA,Department of Consumer Affairs,"Complaint about a home heating oil business imposing illegal credit terms, issuing improper contracts and receipts, or shortchanging amount of oil dispensed.",CSMS SR,2013-01-24T00:00:00.000,2013-01-24T18:55:15.000,Home Heating Oil Company Complaint,6:55:15 PM,90493767
HHC,Health and Hospitals Corporation,"Location of a New York City public hospital, which can also provide clinic referrals.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:57:53.000,Find a Public Hospital,6:57:53 PM,90493768
HHC,Health and Hospitals Corporation,"Location of a New York City public hospital, which can also provide clinic referrals.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:58:48.000,Find a Public Hospital,6:58:48 PM,90493769
SBS,Small Business Services,Locations where job-seekers can receive career assistance.,Facility Finder,2013-01-24T00:00:00.000,2013-01-24T19:00:24.000,Find a Workforce1 Career Center,7:00:24 PM,90493770
NYSDMV,NYS Department of Motor Vehicles,"Registration, title, and license plate information for motor vehicles.",Referral,2013-01-24T00:00:00.000,2013-01-24T18:54:06.000,Motor Vehicle Registration and License Plates,6:54:06 PM,90493771
3-1-1,3-1-1 Call Center,Information about the two streets an address is located between.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:57:28.000,Find Cross Streets,6:57:28 PM,90493772
3-1-1,3-1-1 Call Center,Information about the two streets an address is located between.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:59:13.000,Find Cross Streets,6:59:13 PM,90493773
DEP,Department of Environmental Protection,The City no longer accepts reports of items or animals that have fallen into a catch basin or a Department of Environmental Protection manhole.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T19:01:12.000,Item or Animal in Catch Basin or Manhole,7:01:12 PM,90493774
DOC,Department of Correction,"Get information on an inmate's location, ID numbers, charges, court date, bail, mailing address, and release date.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:03:22.000,Inmate Location and Information,7:03:22 PM,90493775
NYPD,New York City Police Department,Locate a person you think is in police custody in the Bronx.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T19:06:22.000,Arrested Person Location - Bronx,7:06:22 PM,90493776
NYPD,New York City Police Department,Report a dangerous situation to 911.,Hot Transfer 911,2013-01-24T00:00:00.000,2013-01-24T19:06:32.000,Dangerous Location or Situation,7:06:32 PM,90493777
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T19:13:52.000,Heat Complaint - Residential Building - Inadequate Heat,7:13:52 PM,90493778
DOF,Department of Finance,Status of a parking ticket. Must know ticket or license plate number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T19:02:24.000,Parking Ticket Lookup - Ticket or Plate Number Known,7:02:24 PM,90493779
NYCOURTS,New York Courts,"State Court information, complaints, and assistance.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:06:48.000,State Court Information,7:06:48 PM,90493780
NYPD,New York City Police Department,Find a precinct or police service area (PSA) for a specific address.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:19:28.000,Find a Police Precinct or PSA by Location,7:19:28 PM,90493781
DOF,Department of Finance,Application form for rental assistance for seniors 62 and older living in a rent-regulated apartment who are not receiving SCRIE.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T19:15:12.000,SCRIE - Application for Seniors Not Enrolled,7:15:12 PM,90493782
NYPD,New York City Police Department,Report a vehicle that is blocking a driveway.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T19:18:20.000,Vehicle Blocking Driveway Complaint,7:18:20 PM,90493783
NYPD,New York City Police Department,Find a precinct or police service area (PSA) for a specific address.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:25:04.000,Find a Police Precinct or PSA by Location,7:25:04 PM,90493784
DOB,Department of Buildings,Report of building construction outside the scope of approved plans.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T19:21:32.000,Building Construction Complaint - Illegal Construction,7:21:32 PM,90493785
NYPD,New York City Police Department,Report of any gas-related emergency or dangerous condition. Requires immediate transfer to 911.,Hot Transfer 911,2013-01-24T00:00:00.000,2013-01-24T19:24:52.000,Gas Leak,7:24:52 PM,90493786
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T19:27:08.000,Service Request Status - General,7:27:08 PM,90493787
DOF,Department of Finance,Status of a parking ticket. Must know ticket or license plate number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T19:31:08.000,Parking Ticket Lookup - Ticket or Plate Number Known,7:31:08 PM,90493788
DOF,Department of Finance,Status of a parking ticket. Must know ticket or license plate number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T19:41:52.000,Parking Ticket Lookup - Ticket or Plate Number Known,7:41:52 PM,90493789
NYPD,New York City Police Department,Hidden service for activity coding.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T19:27:17.000,Division Transfer,7:27:17 PM,90493790
NYPD,New York City Police Department,Hidden service for activity coding.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T19:27:25.000,Division Transfer,7:27:25 PM,90493791
NYPD,New York City Police Department,Hidden service for activity coding.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T19:28:11.000,Division Transfer,7:28:11 PM,90493792
DOHMH,Department of Health and Mental Hygiene,Request for the status of a dog license application or renewal submitted through the mail.,Agency Closed,2013-01-24T00:00:00.000,2013-01-24T19:28:34.000,Dog License Status - Mailed In,7:28:34 PM,90493793
3-1-1,3-1-1 Call Center,Request for the phone number or address of a specific person or business.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:31:16.000,Contact Information - Directory Assistance,7:31:16 PM,90493794
NYCHA,New York City Housing Authority,Complaint or question from a NYCHA resident.,Agency Closed,2013-01-24T00:00:00.000,2013-01-24T19:32:44.000,NYCHA Borough Management Office - Brooklyn,7:32:44 PM,90493795
NYCHA,New York City Housing Authority,The 24 hour hotline to report maintenance issues for New York City Housing Authority (NYCHA) properties in all boroughs.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T19:36:16.000,Public Housing Maintenance,7:36:16 PM,90493796
ACS,Administration for Children Services,"Get eligibility information, a list of ACS EarlyLearn NYC programs, and an application form for financial assistance by mail.",CSMS SR,2013-01-24T00:00:00.000,2013-01-24T19:36:26.000,Child Care Financial Assistance - Eligibility Information and Application By Mail,7:36:26 PM,90493797
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:41:34.000,Heat Complaint - Residential Building - Inadequate Heat,7:41:34 PM,90493798
DHS,Department of Homeless Services,Report of a homeless person who may need assistance or shelter. Request for a mobile outreach response team.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T19:42:38.000,Homeless Person Outreach Assistance,7:42:38 PM,90493799
NYCHA,New York City Housing Authority,Complaint that public housing is too cold or overheated.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T19:44:31.000,Heat Complaint in NYCHA Building,7:44:31 PM,90493800
NYPD,New York City Police Department,Report a noisy neighbor.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T19:46:15.000,Noise from Neighbor,7:46:15 PM,90493801
DCA,Department of Consumer Affairs,License required to do construction or repair work at residences.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T19:44:34.000,Home Improvement Contractor License - Apply,7:44:34 PM,90493802
DCA,Department of Consumer Affairs,License required to do construction or repair work at residences.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T19:46:14.000,Home Improvement Contractor License - Apply,7:46:14 PM,90493803
OCFS,NYS Office of Children and Family Services,Report of possible child abuse or neglect.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:56:44.000,Child Abuse,7:56:44 PM,90493804
DOB,Department of Buildings,Report building construction after-hours or on weekends.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T20:00:22.000,Building Construction Unauthorized After Hours,8:00:22 PM,90493805
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T19:54:58.000,Heat Complaint - Residential Building - Inadequate Heat,7:54:58 PM,90493806
NYPD,New York City Police Department,Report of trespassing occurring right now. Requires immediate transfer to 911.,Hot Transfer 911,2013-01-24T00:00:00.000,2013-01-24T19:56:46.000,Trespassing - In Progress,7:56:46 PM,90493807
MTA,Metropolitan Transportation Authority,"Information or complaint about MetroCards, vending machines, and refunds.",Referral,2013-01-24T00:00:00.000,2013-01-24T20:31:12.000,MetroCard - Information and Complaint,8:31:12 PM,90493808
DOB,Department of Buildings,Report an illegal conversion or alteration of a residential building.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T20:32:49.000,Illegal Conversion of Residential Space,8:32:49 PM,90493809
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:52:38.000,Heat Complaint - Residential Building - Inadequate Heat,7:52:38 PM,90493810
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:57:55.000,Heat Complaint - Residential Building - Inadequate Heat,10:57:55 PM,90493843
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:54:17.000,No Hot Water Complaint - Residential Building - From Tenant,7:54:17 PM,90493811
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T20:10:20.000,Service Request Status - General,8:10:20 PM,90493812
3-1-1,3-1-1 Call Center,"Opinions and suggestions for the Mayor, including those about City government processes.",CSMS SR,2013-01-24T00:00:00.000,2013-01-24T20:13:24.000,Comment for the Mayor,8:13:24 PM,90493813
DCA,Department of Consumer Affairs,Consumer information about avoiding Internet scams.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T20:00:31.000,Internet Scam Guide,8:00:31 PM,90493814
NYPD,New York City Police Department,Find a precinct or police service area (PSA) for a specific address.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T20:05:44.000,Find a Police Precinct or PSA by Location,8:05:44 PM,90493815
NYPD,New York City Police Department,Hidden service for activity coding.,Referral,2013-01-24T00:00:00.000,2013-01-24T20:06:53.000,Division Referral,8:06:53 PM,90493816
NYPD,New York City Police Department,Report noise from inside a club or bar.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T20:07:03.000,Noise from Club or Bar,8:07:03 PM,90493817
DEP,Department of Environmental Protection,Report a water leak on a street or sidewalk.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T20:12:01.000,Water Leak on Street or Sidewalk,8:12:01 PM,90493818
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T20:16:40.000,Heat Complaint - Residential Building - Inadequate Heat,8:16:40 PM,90493819
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T20:18:04.000,No Hot Water Complaint - Residential Building - From Tenant,8:18:04 PM,90493820
3-1-1,3-1-1 Call Center,"Opinions and suggestions for the Mayor, including those about City government processes.",CSMS SR,2013-01-24T00:00:00.000,2013-01-24T20:13:56.000,Comment for the Mayor,8:13:56 PM,90493821
3-1-1,3-1-1 Call Center,"Opinions and suggestions for the Mayor, including those about City government processes.",CSMS SR,2013-01-24T00:00:00.000,2013-01-24T20:17:42.000,Comment for the Mayor,8:17:42 PM,90493822
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T20:18:13.000,Service Request Status - General,8:18:13 PM,90493823
NYPD,New York City Police Department,Report of reckless or dangerous driving happening right now. Requires immediate transfer to 911.,Hot Transfer 911,2013-01-24T00:00:00.000,2013-01-24T20:19:33.000,Reckless Driving,8:19:33 PM,90493825
MTA,Metropolitan Transportation Authority,Information or complaint about paratransit transportation for people with disabilities.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T20:21:31.000,Access-A-Ride Information or Complaint,8:21:31 PM,90493827
DEP,Department of Environmental Protection,Report a sewer backup.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T20:20:59.000,Sewer Backup Complaint - Priority,8:20:59 PM,90493828
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T20:23:25.000,Heat Complaint - Residential Building - Inadequate Heat,8:23:25 PM,90493829
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T20:30:08.000,Heat Complaint - Residential Building - Inadequate Heat,8:30:08 PM,90493830
DSNY,Department of Sanitation,"Information about recycling computers, televisions, cell phones, and other electronics.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T20:24:59.000,Electronic Disposal Information,8:24:59 PM,90493831
NYPD,New York City Police Department,Find a precinct or police service area (PSA) for a specific address.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:39:26.000,Find a Police Precinct or PSA by Location,10:39:26 PM,90493832
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T22:34:24.000,Heat Complaint - Residential Building - Inadequate Heat,10:34:24 PM,90493833
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T22:38:44.000,Heat Complaint - Residential Building - Inadequate Heat,10:38:44 PM,90493834
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T22:47:18.000,Heat Complaint - Residential Building - Inadequate Heat,10:47:18 PM,90493835
DOF,Department of Finance,Pay a parking ticket over the phone.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T22:55:06.000,Pay a Parking Ticket - By Phone,10:55:06 PM,90493836
DOF,Department of Finance,Pay a parking ticket over the phone.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T23:00:50.000,Pay a Parking Ticket - By Phone,11:00:50 PM,90493837
NYPD,New York City Police Department,Hidden service for activity coding.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T22:41:59.000,Division Transfer,10:41:59 PM,90493838
MTA,Metropolitan Transportation Authority,"Information or complaint about MetroCards, vending machines, and refunds.",Referral,2013-01-24T00:00:00.000,2013-01-24T22:44:21.000,MetroCard - Information and Complaint,10:44:21 PM,90493839
DOF,Department of Finance,Status of a parking ticket. Must know ticket or license plate number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T22:48:37.000,Parking Ticket Lookup - Ticket or Plate Number Known,10:48:37 PM,90493840
DOF,Department of Finance,Hidden service for activity coding.,Agency Closed,2013-01-24T00:00:00.000,2013-01-24T22:53:15.000,Division Referral,10:53:15 PM,90493841
DEP,Department of Environmental Protection,Report a fire hydrant that is open and running but not at full blast.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:51:30.000,Fire Hydrant Running,10:51:30 PM,90493842
3-1-1,3-1-1 Call Center,Request for the phone number or address of a specific person or business.,Information Provided,2013-01-25T00:00:00.000,2013-01-25T00:01:51.000,Contact Information - Directory Assistance,12:01:51 AM,90493844
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-25T00:00:00.000,2013-01-25T00:02:55.000,Heat Complaint - Residential Building - Inadequate Heat,12:02:55 AM,90493845
NYCOURTS,New York Courts,"Information and assistance for landlords and tenants with an ongoing dispute, including eviction.",Agency Closed,2013-01-25T00:00:00.000,2013-01-25T00:17:49.000,Tenant and Landlord Disputes - Bronx,12:17:49 AM,90493846
DHS,Department of Homeless Services,Report of a homeless person who may need assistance or shelter. Request for a mobile outreach response team.,Information Provided,2013-01-25T00:00:00.000,2013-01-25T00:18:07.000,Homeless Person Outreach Assistance,12:18:07 AM,90493847
NYSDOH,NYS Department of Health,Complaint about a hospital or clinic.,Agency Closed,2013-01-25T00:00:00.000,2013-01-25T00:20:57.000,Hospital or Clinic Complaint,12:20:57 AM,90493848
NYPD,New York City Police Department,Report a dangerous situation to 911.,Hot Transfer 911,2013-01-25T00:00:00.000,2013-01-25T00:23:53.000,Dangerous Location or Situation,12:23:53 AM,90493849
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-25T00:00:00.000,2013-01-25T00:26:40.000,Heat Complaint - Residential Building - Inadequate Heat,12:26:40 AM,90493850
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Universal Intake SR,2013-01-25T00:00:00.000,2013-01-25T00:28:42.000,No Hot Water Complaint - Residential Building - From Tenant,12:28:42 AM,90493851
MTA,Metropolitan Transportation Authority,Information or complaint about City buses and subways.,Referral,2013-01-25T00:00:00.000,2013-01-25T00:31:25.000,Bus or Subway - Information and Complaint,12:31:25 AM,90493852
MTA,Metropolitan Transportation Authority,Information or complaint about City buses and subways.,Referral,2013-01-25T00:00:00.000,2013-01-25T00:35:25.000,Bus or Subway - Information and Complaint,12:35:25 AM,90493853
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-25T00:00:00.000,2013-01-25T00:37:05.000,Heat Complaint - Residential Building - Inadequate Heat,12:37:05 AM,90493854
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-25T00:00:00.000,2013-01-25T00:42:30.000,Heat Complaint - Residential Building - Inadequate Heat,12:42:30 AM,90493855
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Information Provided,2013-01-25T00:00:00.000,2013-01-25T00:48:04.000,No Hot Water Complaint - Residential Building - From Tenant,12:48:04 AM,90493856
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-25T00:00:00.000,2013-01-25T00:49:51.000,Heat Complaint - Residential Building - Inadequate Heat,12:49:51 AM,90493857
